"Generation","Term","classicFisher","Significant","-log10(p-value)"
"Gen1","cellular catabolic process",0.0953,3,1.02090709936167
"Gen1","tricarboxylic acid cycle",0.0957,2,1.01908806222316
"Gen1","very long-chain fatty acid catabolic pro...",0.0957,1,1.01908806222316
"Gen1","prosthetic group metabolic process",0.096,1,1.01772876696043
"Gen1","nucleotide biosynthetic process",0.0961,4,1.01727661233145
"Gen1","skeletal muscle thin filament assembly",0.0984,1,1.00700490156866
"Gen1","pole plasm RNA localization",0.0993,2,1.00305075150462
"Gen1","larval salivary gland morphogenesis",0.0994,1,1.00261361560269
"Gen1","purine nucleoside metabolic process",0.1005,1,0.997833938243492
"Gen1","segmentation",0.1017,2,0.992679047077255
"Gen1","anatomical structure maturation",0.1055,2,0.976747540366289
"Gen1","maintenance of protein localization in o...",0.1058,1,0.975514332300833
"Gen1","non-proteinogenic amino acid biosyntheti...",0.1064,1,0.973058372040971
"Gen1","nucleoside monophosphate metabolic proce...",0.1068,2,0.971428747307462
"Gen1","L-amino acid transport",0.1081,1,0.96617430604669
"Gen1","establishment or maintenance of cytoskel...",0.1087,1,0.963770455913705
"Gen1","spindle organization",0.109,2,0.962573502059376
"Gen1","dicarboxylic acid catabolic process",0.11,1,0.958607314841775
"Gen1","pyrimidine nucleotide salvage",0.1111,1,0.954285941059132
"Gen1","AMP biosynthetic process",0.1113,1,0.953504835665292
"Gen1","larval locomotory behavior",0.1119,1,0.95116991347165
"Gen1","establishment of protein localization to...",0.1122,1,0.950007143079857
"Gen1","renal system vasculature development",0.1125,1,0.948847477552619
"Gen1","chromatin organization",0.1172,3,0.931072388317928
"Gen1","molybdopterin cofactor biosynthetic proc...",0.1187,1,0.925549281045409
"Gen1","modulation of process of another organis...",0.1207,1,0.918292729902651
"Gen1","oocyte fate determination",0.122,1,0.913640169325252
"Gen1","polysaccharide catabolic process",0.1224,1,0.912218582190458
"Gen1","cellular response to hypoxia",0.1234,1,0.908684840302777
"Gen1","very long-chain fatty acid metabolic pro...",0.1235,1,0.908333042404315
"Gen1","mitotic sister chromatid segregation",0.1237,2,0.907630300370879
"Gen1","developmental maturation",0.1242,2,0.905878404159439
"Gen1","amino acid transmembrane transport",0.1272,1,0.895512888687605
"Gen1","rRNA catabolic process",0.128,1,0.892790030352132
"Gen1","glomerulus development",0.1281,1,0.892450870255314
"Gen1","establishment or maintenance of microtub...",0.1296,1,0.887394998465425
"Gen1","negative regulation of DNA-binding trans...",0.1304,1,0.884722408604099
"Gen1","regulation of translational fidelity",0.1308,1,0.883392256011752
"Gen1","glomerular mesangial cell development",0.1311,1,0.882397308309916
"Gen1","negative regulation of cell growth",0.1325,1,0.877784121727173
"Gen1","adenylate cyclase-modulating G protein-c...",0.135,1,0.869666231504994
"Gen1","mRNA 3'-end processing",0.1357,1,0.867420152340263
"Gen1","instar larval development",0.1378,1,0.860750782428393
"Gen1","L-alpha-amino acid transmembrane transpo...",0.14,1,0.853871964321762
"Gen1","renal system development",0.1401,2,0.853561864714225
"Gen1","positive regulation of DNA replication",0.1417,1,0.84863014975254
"Gen1","ribose phosphate biosynthetic process",0.1427,3,0.845576026885353
"Gen1","regulation of blood pressure",0.146,1,0.835647144215563
"Gen1","non-proteinogenic amino acid metabolic p...",0.1461,2,0.835349784065703
"Gen1","lamellipodium assembly",0.1466,1,0.833866029694891
"Gen1","germarium-derived egg chamber formation",0.1474,1,0.831502516476967
"Gen1","small molecule catabolic process",0.1486,3,0.827981190575444
"Gen1","protein localization to organelle",0.1489,2,0.827105302247824
"Gen1","cell cycle DNA replication",0.1499,1,0.824198367151721
"Gen1","regulation of mitotic cell cycle",0.1523,2,0.817300096663957
"Gen1","peptidyl-proline modification",0.1547,1,0.810509686300632
"Gen1","regulation of myeloid leukocyte differen...",0.1554,1,0.808548985535104
"Gen1","endoplasmic reticulum organization",0.1556,1,0.80799040734633
"Gen1","regulation of Ras protein signal transdu...",0.1569,1,0.804377056413063
"Gen1","blastoderm segmentation",0.157,2,0.804100347590766
"Gen1","humoral immune response",0.1576,1,0.802443786846464
"Gen1","organophosphate ester transport",0.1577,1,0.802168306671097
"Gen1","aspartate family amino acid metabolic pr...",0.1583,2,0.800519085137644
"Gen1","tRNA thio-modification",0.1585,1,0.79997073344623
"Gen1","regulation of hemopoiesis",0.159,1,0.798602875679548
"Gen1","regulation of cell projection assembly",0.1596,1,0.796967112985289
"Gen1","glutamine family amino acid catabolic pr...",0.1602,1,0.795337488251781
"Gen1","nucleoside monophosphate biosynthetic pr...",0.1612,2,0.792634962530928
"Gen1","anterior/posterior axis specification",0.1639,2,0.785421046429501
"Gen1","regulation of lamellipodium organization",0.1667,1,0.778064400171995
"Gen1","regulation of G1/S transition of mitotic...",0.1705,1,0.768275616671483
"Gen1","negative regulation of growth",0.1723,1,0.763714722551971
"Gen1","camera-type eye morphogenesis",0.1742,1,0.758951849328356
"Gen1","lipid translocation",0.1743,1,0.758702612890007
"Gen1","termination of RNA polymerase II transcr...",0.1748,1,0.757458571701616
"Gen1","metallo-sulfur cluster assembly",0.1753,1,0.756218083906205
"Gen1","blood vessel diameter maintenance",0.1768,1,0.752517739322946
"Gen1","amino acid catabolic process",0.1779,2,0.749824051916075
"Gen1","pyrimidine nucleobase biosynthetic proce...",0.1789,1,0.747389659432627
"Gen1","deoxyribonucleotide metabolic process",0.1822,1,0.739451627363021
"Gen1","epithelial cell differentiation involved...",0.1836,1,0.736127323134776
"Gen1","organic acid catabolic process",0.1838,3,0.735654492949908
"Gen1","RNA modification",0.1863,2,0.729787145103757
"Gen1","sodium ion transport",0.1869,1,0.728390698621168
"Gen1","purine ribonucleoside biosynthetic proce...",0.1923,1,0.71602071576152
"Gen1","glomerular mesangium development",0.1954,1,0.709075440617246
"Gen1","synapse assembly",0.1956,1,0.708631149548417
"Gen1","nucleobase-containing small molecule bio...",0.1964,1,0.706858516549069
"Gen1","regulation of viral process",0.1967,1,0.706195640080663
"Gen1","gamma-aminobutyric acid catabolic proces...",0.1973,1,0.704872914747809
"Gen1","salivary gland development",0.1976,1,0.704213059748391
"Gen1","lipid homeostasis",0.198,1,0.703334809738469
"Gen1","exocrine system development",0.1989,1,0.701365216875564
"Gen1","cell differentiation involved in kidney ...",0.2008,1,0.697236291527018
"Gen1","deoxyribonucleotide biosynthetic process",0.2046,1,0.689094370623859
"Gen1","germarium-derived oocyte differentiation",0.2066,1,0.684869682816398
"Gen1","amino acid transport",0.2069,1,0.684239509334265
"Gen1","pyrimidine ribonucleotide salvage",0.2069,1,0.684239509334265
"Gen1","methionine metabolic process",0.2075,2,0.682981898951889
"Gen1","regulation of cell cycle phase transitio...",0.2077,2,0.682563503464901
"Gen1","glutamate metabolic process",0.209,1,0.679853713888946
"Gen1","mitotic nuclear division",0.2111,2,0.675511766692344
"Gen1","ribonucleotide biosynthetic process",0.2114,3,0.674895017028593
"Gen1","anterior/posterior pattern specification",0.2116,2,0.674484336636852
"Gen1","response to oxygen levels",0.2116,2,0.674484336636852
"Gen1","regulation of cell cycle G1/S phase tran...",0.2133,1,0.671009144550571
"Gen1","positive regulation of cell growth",0.2148,1,0.667965722972482
"Gen1","uracil metabolic process",0.2162,1,0.665144310382708
"Gen1","response to UV",0.2186,1,0.660349842386316
"Gen1","DNA-templated transcription termination",0.219,1,0.659555885159882
"Gen1","tRNA wobble base modification",0.2195,1,0.65856547542186
"Gen1","positive regulation of translational fid...",0.22,1,0.657577319177794
"Gen1","ribosomal large subunit assembly",0.2204,1,0.656788409820253
"Gen1","lipid transport",0.2212,1,0.655214877367339
"Gen1","carboxylic acid catabolic process",0.2217,3,0.654234306885512
"Gen1","nucleoside phosphate biosynthetic proces...",0.2219,4,0.653842697767992
"Gen1","cell cycle checkpoint signaling",0.2224,1,0.65286521708998
"Gen1","myotube cell development",0.2241,1,0.649558143464939
"Gen1","nucleobase biosynthetic process",0.2257,1,0.646468440922238
"Gen1","oocyte anterior/posterior axis specifica...",0.2276,2,0.642827742276966
"Gen1","nucleoside salvage",0.2283,1,0.641494088509765
"Gen1","dendrite morphogenesis",0.2304,1,0.637517525248826
"Gen1","double-strand break repair",0.2304,2,0.637517525248826
"Gen1","non-proteinogenic amino acid catabolic p...",0.2305,1,0.637329070274333
"Gen1","sulfur compound biosynthetic process",0.2343,2,0.630227711403037
"Gen1","organic acid biosynthetic process",0.2351,3,0.628747370875061
"Gen1","purine-containing compound salvage",0.2351,1,0.628747370875061
"Gen1","negative regulation of Ras protein signa...",0.2353,1,0.628378072823979
"Gen1","photoreceptor cell development",0.2363,1,0.626536278367631
"Gen1","carboxylic acid biosynthetic process",0.2381,3,0.62324060459512
"Gen1","organic acid transport",0.2394,1,0.620875853929608
"Gen1","proteinogenic amino acid biosynthetic pr...",0.2395,2,0.620694482249418
"Gen1","embryonic axis specification",0.24,2,0.619788758288394
"Gen1","G1/S transition of mitotic cell cycle",0.2402,1,0.619426996933113
"Gen1","mitotic cell cycle",0.2409,3,0.618163200001657
"Gen1","cellular response to UV",0.2421,1,0.616005210558267
"Gen1","positive regulation of gene expression",0.2433,3,0.613857891069182
"Gen1","pyrimidine nucleobase metabolic process",0.245,1,0.610833915635468
"Gen1","Ras protein signal transduction",0.2464,1,0.608359296507612
"Gen1","maintenance of location",0.2488,1,0.604149623981219
"Gen1","connective tissue development",0.2494,1,0.603103550857476
"Gen1","regulation of growth",0.2542,2,0.594824453782011
"Gen1","ear development",0.2566,1,0.59074334796109
"Gen1","germ cell development",0.2577,2,0.588885581449095
"Gen1","vascular process in circulatory system",0.2604,1,0.584359020103846
"Gen1","regulation of small GTPase mediated sign...",0.264,1,0.578396073130169
"Gen1","retina development in camera-type eye",0.2662,1,0.574791948861344
"Gen1","fatty acid metabolic process",0.2663,2,0.574628833561059
"Gen1","actin filament depolymerization",0.2695,1,0.569441230477242
"Gen1","kidney vasculature development",0.2695,1,0.569441230477242
"Gen1","protein localization to membrane",0.27,1,0.568636235841013
"Gen1","UMP metabolic process",0.2712,1,0.566710314804974
"Gen1","anterior/posterior axis specification, e...",0.2725,2,0.564633493387339
"Gen1","sister chromatid cohesion",0.2729,1,0.563996464330104
"Gen1","alpha-amino acid biosynthetic process",0.273,2,0.563837352959244
"Gen1","protein heterooligomerization",0.275,1,0.560667306169737
"Gen1","UMP biosynthetic process",0.2759,1,0.559248299520815
"Gen1","regulation of plasma membrane bounded ce...",0.2759,1,0.559248299520815
"Gen1","cytoskeleton-dependent intracellular tra...",0.2763,1,0.558619115083489
"Gen1","negative regulation of intracellular sig...",0.2785,1,0.555174800490252
"Gen1","chromatin remodeling",0.2793,3,0.553929064298995
"Gen1","learning or memory",0.2803,1,0.552376902239714
"Gen1","small molecule biosynthetic process",0.2821,4,0.549596913844634
"Gen1","smooth muscle contraction",0.2826,1,0.54882784248746
"Gen1","regulation of DNA-binding transcription ...",0.2843,1,0.546223140309558
"Gen1","chromosome segregation",0.2863,2,0.543178651978401
"Gen1","energy derivation by oxidation of organi...",0.2863,3,0.543178651978401
"Gen1","response to hypoxia",0.2884,1,0.540004743952609
"Gen1","maintenance of protein location in cell",0.2887,1,0.53955321611928
"Gen1","microtubule cytoskeleton organization",0.289,3,0.539102157243452
"Gen1","cell growth",0.2897,2,0.538051504796238
"Gen1","protein glycosylation",0.2912,1,0.535808629359
"Gen1","organic anion transport",0.2943,1,0.531209737900389
"Gen1","nucleotide salvage",0.2956,1,0.529295570277212
"Gen1","nucleobase metabolic process",0.2957,1,0.529148675473882
"Gen1","skeletal myofibril assembly",0.2963,1,0.528268348519949
"Gen1","regulation of tube size",0.2972,1,0.526951194911462
"Gen1","actin filament organization",0.2974,2,0.526659035814065
"Gen1","lipid modification",0.2979,1,0.525929496784956
"Gen1","monocarboxylic acid metabolic process",0.3001,4,0.522734004575147
"Gen1","tRNA aminoacylation for protein translat...",0.3029,2,0.518700726667144
"Gen1","biological process involved in interspec...",0.3033,3,0.518127589689336
"Gen1","mitotic cell cycle process",0.3037,3,0.517555208081735
"Gen1","DNA replication",0.3042,4,0.51684079028302
"Gen1","methionine biosynthetic process",0.3047,2,0.516127545777326
"Gen1","nephron development",0.3056,1,0.514846650096348
"Gen1","protein heterotetramerization",0.3059,1,0.514420523015321
"Gen1","cell fate determination",0.3077,1,0.511872503752542
"Gen1","organelle fission",0.3121,2,0.505706231334667
"Gen1","sister chromatid segregation",0.3122,2,0.505567101273601
"Gen1","muscle organ development",0.3133,1,0.504039605118295
"Gen1","mesangial cell differentiation",0.3137,1,0.503485481302255
"Gen1","negative regulation of mitotic cell cycl...",0.3176,1,0.498119506244941
"Gen1","tRNA metabolic process",0.3187,3,0.496617936526267
"Gen1","myofibril assembly",0.319,1,0.496209316942819
"Gen1","rRNA modification",0.321,1,0.493494967595128
"Gen1","[2Fe-2S] cluster assembly",0.3226,1,0.491335636947057
"Gen1","photoreceptor cell differentiation",0.3251,1,0.487983030503873
"Gen1","cellular process involved in reproductio...",0.3272,2,0.485186705000715
"Gen1","nucleoside metabolic process",0.3276,1,0.484656106911619
"Gen1","mitotic cell cycle checkpoint signaling",0.3288,1,0.483068191131987
"Gen1","glycosyl compound biosynthetic process",0.3289,1,0.482936126517345
"Gen1","carboxylic acid transmembrane transport",0.3305,1,0.480828536178341
"Gen1","sensory perception of pain",0.3305,1,0.480828536178341
"Gen1","cell cycle G1/S phase transition",0.3322,1,0.478600371884624
"Gen1","female gamete generation",0.3333,2,0.47716468633947
"Gen1","glomerular mesangial cell differentiatio...",0.3333,1,0.47716468633947
"Gen1","potassium ion transport",0.3333,1,0.47716468633947
"Gen1","protein modification by small protein re...",0.3365,1,0.473014931440004
"Gen1","gland morphogenesis",0.3377,1,0.471468939364588
"Gen1","myeloid leukocyte differentiation",0.3378,1,0.47134035476501
"Gen1","cellular response to decreased oxygen le...",0.3418,1,0.466227941615282
"Gen1","larval development",0.3428,1,0.464959186748839
"Gen1","phospholipid transport",0.3456,1,0.461426266193144
"Gen1","protein-DNA complex assembly",0.3456,1,0.461426266193144
"Gen1","purine nucleoside triphosphate biosynthe...",0.347,1,0.459670525209126
"Gen1","response to heat",0.3477,1,0.458795309316742
"Gen1","regulation of viral life cycle",0.3482,1,0.458171233218688
"Gen1","regulation of lamellipodium assembly",0.3491,1,0.457050151185821
"Gen1","small GTPase-mediated signal transductio...",0.3493,2,0.456801414362353
"Gen1","double-strand break repair via homologou...",0.3495,2,0.4565528199183
"Gen1","pronephros development",0.35,1,0.455931955649724
"Gen1","positive regulation of growth",0.3501,1,0.455807889234967
"Gen1","pyrimidine ribonucleoside monophosphate ...",0.3522,1,0.453210648368742
"Gen1","plasma membrane bounded cell projection ...",0.3524,1,0.45296410025999
"Gen1","actin filament-based process",0.3542,3,0.450751443145944
"Gen1","glucan catabolic process",0.3562,1,0.448306084872775
"Gen1","skeletal muscle fiber development",0.3562,1,0.448306084872775
"Gen1","mRNA export from nucleus",0.3573,1,0.44696698379756
"Gen1","cellular response to light stimulus",0.3578,1,0.446359663768646
"Gen1","regulation of DNA-templated DNA replicat...",0.3588,1,0.445147565627946
"Gen1","cellular component assembly involved in ...",0.3591,1,0.444784594873927
"Gen1","macromolecule glycosylation",0.3607,1,0.442853857681637
"Gen1","L-amino acid biosynthetic process",0.3609,2,0.442613117940493
"Gen1","regulation of translation",0.3609,2,0.442613117940493
"Gen1","locomotory behavior",0.3626,1,0.44057220024051
"Gen1","regulation of protein stability",0.3636,1,0.43937612545007
"Gen1","olfactory learning",0.3654,1,0.437231456983481
"Gen1","purine ribonucleoside triphosphate biosy...",0.3665,1,0.435926021022853
"Gen1","purine ribonucleotide biosynthetic proce...",0.3687,2,0.433326862393883
"Gen1","multicellular organismal reproductive pr...",0.3693,2,0.432620692349021
"Gen1","inner ear development",0.3732,1,0.428058364925538
"Gen1","polysaccharide metabolic process",0.3749,1,0.426084559578449
"Gen1","phospholipid translocation",0.375,1,0.425968732272281
"Gen1","protein polyubiquitination",0.3753,1,0.425621435586918
"Gen1","regulation of myeloid cell differentiati...",0.3756,1,0.425274416405927
"Gen1","regulation of mRNA processing",0.3769,1,0.423773862550395
"Gen1","cellular anatomical entity morphogenesis",0.3773,1,0.423313194799004
"Gen1","pyrimidine ribonucleotide metabolic proc...",0.3773,1,0.423313194799004
"Gen1","generation of precursor metabolites and ...",0.3831,3,0.416687848016922
"Gen1","maintenance of location in cell",0.385,1,0.414539270491499
"Gen1","regulation of leukocyte differentiation",0.3876,1,0.411616231621272
"Gen1","muscle cell development",0.3895,1,0.409492537991417
"Gen1","bicoid mRNA localization",0.3904,1,0.408490191005346
"Gen1","cellular response to environmental stimu...",0.3909,1,0.407934329567753
"Gen1","vascular associated smooth muscle contra...",0.3913,1,0.40749015209932
"Gen1","RNA catabolic process",0.3916,2,0.4071573168689
"Gen1","gamete generation",0.395,2,0.40340290437354
"Gen1","UMP salvage",0.4,1,0.397940008672038
"Gen1","dendrite development",0.4021,1,0.395665926897089
"Gen1","salivary gland morphogenesis",0.4023,1,0.395449967428739
"Gen1","regulation of cell cycle process",0.403,2,0.394694953858891
"Gen1","nucleosome assembly",0.4051,1,0.392437756816412
"Gen1","glycogen catabolic process",0.4062,1,0.391260080931212
"Gen1","myotube differentiation",0.4113,1,0.385841290490825
"Gen1","protein complex oligomerization",0.4121,1,0.384997385475412
"Gen1","nuclear transport",0.4127,1,0.384365531122584
"Gen1","proteinogenic amino acid metabolic proce...",0.4154,3,0.38153350780092
"Gen1","nuclear chromosome segregation",0.4163,2,0.380593589113223
"Gen1","glycosyl compound metabolic process",0.4166,1,0.380280734388273
"Gen1","post-embryonic animal morphogenesis",0.4168,1,0.380072289708532
"Gen1","protein tetramerization",0.4188,1,0.377993326993195
"Gen1","regulation of RNA splicing",0.419,1,0.377785977033705
"Gen1","positive regulation of translation",0.4193,1,0.377475137596432
"Gen1","regulation of cell projection organizati...",0.4195,1,0.377268034835281
"Gen1","protein-DNA complex organization",0.4216,1,0.37509939779551
"Gen1","mRNA transport",0.4219,3,0.374790474618119
"Gen1","skeletal muscle tissue development",0.422,1,0.374687549038326
"Gen1","positive regulation of DNA metabolic pro...",0.4276,1,0.36896230346326
"Gen1","lipid catabolic process",0.4294,1,0.36713795989977
"Gen1","sulfur compound metabolic process",0.4301,2,0.366430557445908
"Gen1","protein-containing complex disassembly",0.4355,1,0.361011840656318
"Gen1","ATP biosynthetic process",0.4356,1,0.360912128916263
"Gen1","RNA 3'-end processing",0.4362,1,0.360314338757319
"Gen1","mitotic spindle assembly",0.4389,1,0.357634419155027
"Gen1","camera-type eye development",0.4393,1,0.35723879673468
"Gen1","leukocyte differentiation",0.4406,1,0.355955507185251
"Gen1","tissue morphogenesis",0.4414,2,0.355167671174364
"Gen1","ribonucleoside monophosphate biosyntheti...",0.4423,2,0.354283060630396
"Gen1","proteasomal protein catabolic process",0.445,1,0.351639989019068
"Gen1","nucleoside biosynthetic process",0.4458,1,0.350859935855781
"Gen1","microtubule cytoskeleton organization in...",0.4499,1,0.346884006834433
"Gen1","nucleic acid catabolic process",0.4508,2,0.346016092625931
"Gen1","negative regulation of molecular functio...",0.4535,1,0.343422708603886
"Gen1","ribonucleoside triphosphate biosynthetic...",0.4559,1,0.341130407798038
"Gen1","oocyte microtubule cytoskeleton organiza...",0.458,1,0.339134521996131
"Gen1","regulation of mRNA splicing, via spliceo...",0.4585,1,0.33866065999396
"Gen1","purine nucleotide biosynthetic process",0.4597,2,0.33752549624969
"Gen1","learning",0.4615,1,0.335828294638069
"Gen1","epithelial cell development",0.4618,1,0.335546071418842
"Gen1","viral life cycle",0.4641,1,0.33338843158097
"Gen1","muscle tissue development",0.4644,1,0.333107788933464
"Gen1","modulation by host of viral process",0.4706,1,0.327348077159998
"Gen1","positive regulation of cell cycle proces...",0.4751,1,0.323214969580794
"Gen1","cell cycle phase transition",0.4757,2,0.322666848580098
"Gen1","cognition",0.4761,1,0.322301818525489
"Gen1","developmental process involved in reprod...",0.4775,2,0.321026624080235
"Gen1","positive regulation of catalytic activit...",0.4784,1,0.320208829019646
"Gen1","response to biotic stimulus",0.4797,2,0.319030281534103
"Gen1","carbohydrate biosynthetic process",0.4798,1,0.318939756368188
"Gen1","regulation of hydrolase activity",0.4826,1,0.316412682427233
"Gen1","pyrimidine nucleotide metabolic process",0.4828,1,0.316232738574688
"Gen1","cellular response to ionizing radiation",0.4852,1,0.314079207805465
"Gen1","positive regulation of cell cycle",0.4852,1,0.314079207805465
"Gen1","actomyosin structure organization",0.4854,1,0.313900228004084
"Gen1","sexual reproduction",0.4873,2,0.312203588618705
"Gen1","protein stabilization",0.4876,1,0.311936303053656
"Gen1","response to virus",0.4898,1,0.309981219211305
"Gen1","lipid localization",0.491,1,0.308918507877032
"Gen1","pattern specification process",0.4911,2,0.308830065868396
"Gen1","neuromuscular junction development",0.4912,1,0.308741641866889
"Gen1","gland development",0.4967,1,0.303905840004777
"Gen1","protein depolymerization",0.4967,1,0.303905840004777
"Gen1","mRNA splicing, via spliceosome",0.4989,3,0.301986496060818
"Gen1","instar larval or pupal development",0.4997,1,0.301290650557413
"Gen1","DNA recombination",0.5001,2,0.300943145452332
"Gen1","pyrimidine-containing compound metabolic...",0.5024,1,0.29895036927086
"Gen1","negative regulation of cell cycle",0.503,1,0.298432014944073
"Gen1","eye morphogenesis",0.5054,1,0.296364762416104
"Gen1","respiratory system development",0.5066,1,0.295334814545471
"Gen1","RNA splicing",0.5076,4,0.294478386577333
"Gen1","pyrimidine-containing compound biosynthe...",0.5078,1,0.294307303462297
"Gen1","response to external biotic stimulus",0.5086,2,0.29362364416031
"Gen1","purine ribonucleoside metabolic process",0.5091,1,0.293196902962662
"Gen1","proteasome-mediated ubiquitin-dependent ...",0.5093,1,0.293026323823822
"Gen1","regulation of DNA replication",0.511,1,0.291579099865287
"Gen1","rRNA processing",0.5125,3,0.290306130272208
"Gen1","response to mechanical stimulus",0.5144,1,0.288699040083834
"Gen1","pyrimidine nucleoside monophosphate meta...",0.5146,1,0.288530218125672
"Gen1","nucleic acid transport",0.5217,3,0.282579163277625
"Gen1","protein localization to nucleus",0.5241,1,0.280585840297407
"Gen1","regulation of mitotic cell cycle phase t...",0.5246,1,0.280171713745665
"Gen1","negative regulation of cell cycle proces...",0.5253,1,0.279592599196891
"Gen1","ribonucleotide metabolic process",0.5268,3,0.278354233710254
"Gen1","carbohydrate catabolic process",0.5272,1,0.278024598414047
"Gen1","oogenesis",0.532,2,0.274088367704952
"Gen1","tRNA aminoacylation",0.5378,2,0.269379202112717
"Gen1","membrane organization",0.5395,2,0.268008550981071
"Gen1","response to bacterium",0.541,1,0.266802734893431
"Gen1","cell junction assembly",0.5415,1,0.266401539038661
"Gen1","alpha-amino acid metabolic process",0.5418,3,0.266160999302851
"Gen1","muscle cell differentiation",0.5434,1,0.264880365918128
"Gen1","nucleosome organization",0.5436,1,0.264720551939543
"Gen1","pyrimidine ribonucleotide biosynthetic p...",0.5503,1,0.259400487188843
"Gen1","fatty acid catabolic process",0.5516,1,0.258375742496188
"Gen1","methylation",0.5523,2,0.257824956776323
"Gen1","RNA splicing, via transesterification re...",0.5536,4,0.256803918551299
"Gen1","post-transcriptional regulation of gene ...",0.557,2,0.254144804826271
"Gen1","regulation of DNA metabolic process",0.5629,1,0.249568751339798
"Gen1","synapse organization",0.5644,1,0.24841299491769
"Gen1","circulatory system process",0.5677,1,0.245881105774587
"Gen1","L-amino acid metabolic process",0.5688,3,0.24504041227829
