TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	PC_0	PC_1	Representative
"GO:0001817"	"regulation of cytokine production"	-1.4306260903849541	4.918957729034795	0.23557043100508424	0.8596177522199704	0.70582317	null	null	50865
"GO:0051055"	"negative regulation of lipid biosynthetic process"	-1.869666231504994	4.137227476442907	0.03893714400832446	0.841265529107706	0.24474624	-0.6932694653692871	7.169608893671379	null
"GO:0045833"	"negative regulation of lipid metabolic process"	-1.9746941347352298	4.229374630928843	0.04814124323362434	0.8404928406800353	0.8281531	null	null	51055
"GO:0046890"	"regulation of lipid biosynthetic process"	-1.812479279163537	4.552400501160684	0.10128767676157431	0.8508315804625312	0.88262823	null	null	51055
"GO:0090181"	"regulation of cholesterol metabolic process"	-1.5058454059815571	3.7547304690237535	0.016136983342567714	0.8228516769473145	0.77356684	null	null	51055
"GO:0070570"	"regulation of neuron projection regeneration"	-1.5436339668709569	3.554489160003819	0.010175043683983583	0.881312203278731	0.11324081	2.256611596376083	4.491962015624404	null
"GO:0070572"	"positive regulation of neuron projection regeneration"	-1.47755576649368	3.267406418752904	0.005252184937324116	0.8716924013420576	0.67045455	1.8189472698938822	4.438621623592031	null
"GO:0048679"	"regulation of axon regeneration"	-1.4122890349810886	3.534406899137877	0.009715122624607095	0.873590140271554	0.96284505	null	null	70572
"GO:0071248"	"cellular response to metal ion"	-1.5331323796458904	4.470924753299968	0.08396114450617481	0.9430658749445031	0.6037692	-3.5758744449718236	-6.593687535350373	null
"GO:0072527"	"pyrimidine-containing compound metabolic process"	-1.4023048140744876	5.4789659781574125	0.8553282536093298	0.9735474527338924	0.06466001	5.818945891861471	1.5663600906484603	null
"GO:0072529"	"pyrimidine-containing compound catabolic process"	-1.8297382846050425	4.632356046239074	0.12176268096048325	0.9150290607865836	0.39683665	-0.21759867623025805	-6.650439546218352	null
"GO:0072528"	"pyrimidine-containing compound biosynthetic process"	-1.3467874862246563	5.3692381283509905	0.6643616483071101	0.9351605489431972	0.80524251	null	null	72529
"GO:0072593"	"reactive oxygen species metabolic process"	-1.5128616245228135	5.12357726306058	0.3773481951050999	0.9752934388302542	0.05903004	5.35935792860245	-1.5829257671736245	null
"GO:0080135"	"regulation of cellular response to stress"	-1.3655227298392685	4.947649345068611	0.2516591510266063	0.881201496366942	0.64593187	0.9721505908508588	4.604498269359928	null
"GO:0097194"	"execution phase of apoptosis"	-2.2596373105057563	4.234997879686031	0.04876866640721819	0.9770530243109073	0.00309201	5.8890369477759705	-0.22969985783011282	null
"GO:0097190"	"apoptotic signaling pathway"	-1.3187587626244128	4.725919795648436	0.15103580468413133	0.8578279081554326	0.71335596	null	null	97194
"GO:0140053"	"mitochondrial gene expression"	-1.7077439286435239	5.090617758006277	0.34976996565582075	0.9492079995325429	0.11730921	0.538226309907686	-1.4789344723741098	null
"GO:1902930"	"regulation of alcohol biosynthetic process"	-2.4436974992327127	3.8195439355418688	0.018734685622379375	0.8689658116552835	-0	-2.1363148992332306	7.4424346209214605	null
"GO:0062014"	"negative regulation of small molecule metabolic process"	-1.764471553092451	4.45948295635281	0.081777938983579	0.8417314911301257	0.78748216	null	null	1902930
"GO:1902931"	"negative regulation of alcohol biosynthetic process"	-2.161150909262745	3.2043913319193	0.0045424302160641	0.8621569408712382	0.66498451	-1.5165631447136223	7.570483698668359	null
"GO:1903409"	"reactive oxygen species biosynthetic process"	-2.3467874862246565	3.2971036501492565	0.005624096411264364	0.9683719786458265	0.04077963	4.184183826355361	-3.7505106438517744	null
"GO:1990748"	"cellular detoxification"	-1.7328282715969863	5.518026730456979	0.9358229560568707	0.9249166760070641	0.25559766	-3.746818656783075	-6.376804225717279	null
"GO:0098754"	"detoxification"	-1.7189666327522726	5.578577327189979	1.0758320113915065	0.932812942254934	0.95750529	null	null	1990748
"GO:2000377"	"regulation of reactive oxygen species metabolic process"	-1.7594507517174003	4.040444098362676	0.031158232263314684	0.911187803467522	0.19321239	-2.7927356453693695	7.1836144335832985	null
"GO:2000379"	"positive regulation of reactive oxygen species metabolic process"	-1.8356471442155629	3.5384480517102173	0.009805971228928376	0.9113998554776366	0.18067229	-0.9540352132101912	5.842574515911148	null
