region	chr	midPos	Nsites
(2804,3941)(293959,295121)(250000,300000)	JASDQU010010538.1	275000	1139	0.684050
(3942,5117)(437589,438816)(400000,450000)	JASDQU010010538.1	425000	1177	0.326255
(5118,5118)(481511,481511)(450000,500000)	JASDQU010010538.1	475000	2	0.060508
(610,6230)(225421,234705)(200000,250000)	JASDQU010010545.1	225000	5622	0.523510
(490,939)(229264,230175)(200000,250000)	JASDQU010010551.1	225000	451	0.030588
(209,1811)(59724,97133)(50000,100000)	JASDQU010010577.1	75000	1604	0.459075
(1812,1868)(300552,300615)(300000,350000)	JASDQU010010577.1	325000	58	0.953543
(405,475)(75771,75889)(50000,100000)	JASDQU010010589.1	75000	72	0.072105
(230,532)(111339,111670)(100000,150000)	JASDQU010010590.1	125000	304	0.216362
(169,1760)(181773,183549)(150000,200000)	JASDQU010010591.1	175000	1593	0.804289
(1108,1294)(78138,78324)(50000,100000)	JASDQU010010600.1	75000	188	0.040159
(602,991)(236120,236580)(200000,250000)	JASDQU010010639.1	225000	391	0.486735
(2422,3165)(203249,203997)(200000,250000)	JASDQU010010645.1	225000	745	0.203550
(688,693)(155826,155836)(150000,200000)	JASDQU010010661.1	175000	7	0.046846
(616,3119)(161638,166403)(150000,200000)	JASDQU010010666.1	175000	2505	0.666326
(374,741)(75071,75463)(50000,100000)	JASDQU010010688.1	75000	369	0.062735
(135,1480)(212719,214068)(200000,250000)	JASDQU010010690.1	225000	1347	0.533598
(330,489)(109965,110205)(100000,150000)	JASDQU010010692.1	125000	161	0.014732
(2440,2491)(75585,75669)(50000,100000)	JASDQU010010697.1	75000	53	0.055431
(279,861)(150000,150582)(150000,200000)	JASDQU010010711.1	175000	584	0.334308
(704,741)(194663,194771)(150000,200000)	JASDQU010010722.1	175000	39	0.101154
(183,699)(100000,100521)(100000,150000)	JASDQU010010736.1	125000	518	0.251878
(1074,1199)(58034,58163)(50000,100000)	JASDQU010010737.1	75000	127	0.056103
(638,1472)(196222,197069)(150000,200000)	JASDQU010010770.1	175000	836	0.034868
(990,1968)(50761,51805)(50000,100000)	JASDQU010010788.1	75000	980	0.193620
(366,641)(160174,160754)(150000,200000)	JASDQU010010812.1	175000	277	0.042385
(1380,1428)(118004,118255)(100000,150000)	JASDQU010010819.1	125000	50	0.040321
(64,2339)(109823,112932)(100000,150000)	JASDQU010010860.1	125000	2277	0.247091
(1723,3920)(82506,94512)(50000,100000)	JASDQU010010883.1	75000	2199	0.136043
(595,1412)(141965,145798)(100000,150000)	JASDQU010010916.1	125000	819	0.200929
(810,1511)(51242,51957)(50000,100000)	JASDQU010010917.1	75000	703	0.117673
(2074,2214)(197007,197389)(150000,200000)	JASDQU010010949.1	175000	142	0.170960
(123,884)(72123,98030)(50000,100000)	JASDQU010010950.1	75000	763	0.177935
(112,783)(191001,191678)(150000,200000)	JASDQU010010971.1	175000	673	0.553651
(784,921)(201222,201705)(200000,250000)	JASDQU010010971.1	225000	139	0.037554
(178,1236)(70545,94960)(50000,100000)	JASDQU010010976.1	75000	1060	0.346110
(433,1680)(147710,148973)(100000,150000)	JASDQU010010977.1	125000	1249	0.042616
(2155,2202)(115017,115109)(100000,150000)	JASDQU010011022.1	125000	49	-0.012604
(431,925)(50197,83682)(50000,100000)	JASDQU010011027.1	75000	496	0.035170
(498,803)(272017,272600)(250000,300000)	JASDQU010011044.1	275000	307	0.320855
(588,1579)(59416,60422)(50000,100000)	JASDQU010011054.1	75000	993	0.555518
(1580,1639)(245824,245908)(200000,250000)	JASDQU010011054.1	225000	61	0.831528
(962,1230)(170402,170842)(150000,200000)	JASDQU010011056.1	175000	270	0.068142
(433,448)(291611,291668)(250000,300000)	JASDQU010011088.1	275000	17	0.059822
(449,576)(342648,342784)(300000,350000)	JASDQU010011088.1	325000	129	0.089881
(668,1457)(302370,309301)(300000,350000)	JASDQU010011092.1	325000	791	0.303265
(1596,1787)(87701,87915)(50000,100000)	JASDQU010011112.1	75000	193	0.215070
(282,939)(109938,124688)(100000,150000)	JASDQU010011116.1	125000	659	0.178281
(84,1066)(246339,247331)(200000,250000)	JASDQU010011137.1	225000	984	0.317276
(793,826)(55703,55745)(50000,100000)	JASDQU010011159.1	75000	35	0.054358
(579,1126)(156354,156905)(150000,200000)	JASDQU010011186.1	175000	549	0.295627
(274,455)(208174,208501)(200000,250000)	JASDQU010011208.1	225000	183	0.014394
(456,566)(349445,349644)(300000,350000)	JASDQU010011208.1	325000	112	0.420260
(520,1611)(123146,142513)(100000,150000)	JASDQU010011232.1	125000	1093	0.156555
(38,4239)(338742,343529)(300000,350000)	JASDQU010011246.1	325000	4203	0.452399
(187,277)(74092,74188)(50000,100000)	JASDQU010011254.1	75000	92	0.215563
(278,2261)(108512,142140)(100000,150000)	JASDQU010011254.1	125000	1985	0.535847
(289,1176)(198128,199021)(150000,200000)	JASDQU010011279.1	175000	889	0.456879
(703,1955)(157656,158990)(150000,200000)	JASDQU010011285.1	175000	1254	0.445286
(1660,2534)(187072,187946)(150000,200000)	JASDQU010011294.1	175000	876	0.189036
(410,1827)(132364,133797)(100000,150000)	JASDQU010011299.1	125000	1419	0.629430
(1149,1255)(150158,150293)(150000,200000)	JASDQU010011325.1	175000	108	0.189510
(855,1314)(178592,179122)(150000,200000)	JASDQU010011334.1	175000	461	0.044409
(68,918)(143586,145051)(100000,150000)	JASDQU010011340.1	125000	852	0.058747
(52,98)(181758,181832)(150000,200000)	JASDQU010011388.1	175000	48	0.083778
(386,610)(96374,96672)(50000,100000)	JASDQU010011404.1	75000	226	0.034721
(611,1106)(394560,395072)(350000,400000)	JASDQU010011404.1	375000	497	0.533267
(1107,1114)(419082,419093)(400000,450000)	JASDQU010011404.1	425000	9	0.052089
(1115,1121)(452240,452254)(450000,500000)	JASDQU010011404.1	475000	8	0.120189
(574,3149)(251748,270761)(250000,300000)	JASDQU010011406.1	275000	2577	0.271968
(945,1712)(102347,132110)(100000,150000)	JASDQU010011412.1	125000	769	0.127455
(1994,6579)(75705,98902)(50000,100000)	JASDQU010011434.1	75000	4587	0.249381
(139,262)(61537,61684)(50000,100000)	JASDQU010011435.1	75000	125	0.427395
(923,1532)(210329,210975)(200000,250000)	JASDQU010011445.1	225000	611	0.417806
(1042,1565)(55977,56655)(50000,100000)	JASDQU010011454.1	75000	525	0.015448
(1566,1710)(145324,145468)(100000,150000)	JASDQU010011454.1	125000	146	0.035738
(1711,1953)(324248,347419)(300000,350000)	JASDQU010011454.1	325000	244	0.237338
(722,862)(75221,75398)(50000,100000)	JASDQU010011495.1	75000	142	0.538576
(815,1848)(98156,99341)(50000,100000)	JASDQU010011509.1	75000	1035	0.711379
(1898,2482)(202591,203239)(200000,250000)	JASDQU010011528.1	225000	586	0.884560
(1875,4377)(106465,111715)(100000,150000)	JASDQU010011558.1	125000	2504	0.791410
(349,1887)(277957,279498)(250000,300000)	JASDQU010011655.1	275000	1540	0.212930
(1859,2608)(229917,230671)(200000,250000)	JASDQU010011712.1	225000	751	0.015019
(1221,2419)(71017,72733)(50000,100000)	JASDQU010011713.1	75000	1200	0.150918
(2420,2609)(248914,249158)(200000,250000)	JASDQU010011713.1	225000	191	0.028112
(138,218)(50461,50565)(50000,100000)	JASDQU010011725.1	75000	82	0.059206
(505,842)(205264,205603)(200000,250000)	JASDQU010011735.1	225000	339	0.491739
(368,1526)(150475,168829)(150000,200000)	JASDQU010011737.1	175000	1160	0.108288
(263,1670)(236799,238421)(200000,250000)	JASDQU010011741.1	225000	1409	0.185494
(2099,2185)(180451,180635)(150000,200000)	JASDQU010011755.1	175000	88	0.162680
(707,4582)(250000,256891)(250000,300000)	JASDQU010011766.1	275000	3877	0.334918
(83,815)(50227,54000)(50000,100000)	JASDQU010011811.1	75000	734	0.857086
(1493,2292)(184317,185137)(150000,200000)	JASDQU010011818.1	175000	801	0.256489
(139,468)(68486,69877)(50000,100000)	JASDQU010011822.1	75000	331	0.134806
(582,1147)(67800,68607)(50000,100000)	JASDQU010011849.1	75000	567	0.647597
(296,756)(217975,243924)(200000,250000)	JASDQU010011854.1	225000	462	0.020334
(757,899)(257957,258103)(250000,300000)	JASDQU010011854.1	275000	144	0.048097
(189,320)(100711,100849)(100000,150000)	JASDQU010011859.1	125000	133	0.043337
(1236,1268)(236805,236843)(200000,250000)	JASDQU010011868.1	225000	34	0.047870
(117,396)(139601,140032)(100000,150000)	JASDQU010011895.1	125000	281	0.223770
(693,979)(102020,133336)(100000,150000)	JASDQU010011928.1	125000	288	0.033798
(1,214)(148609,148904)(100000,150000)	JASDQU010011946.1	125000	215	0.692578
(215,1877)(175433,192195)(150000,200000)	JASDQU010011946.1	175000	1664	0.225716
(57,565)(113208,113736)(100000,150000)	JASDQU010011954.1	125000	510	0.131566
(244,1333)(74031,82818)(50000,100000)	JASDQU010011990.1	75000	1091	0.479936
(1573,2340)(50000,50835)(50000,100000)	JASDQU010012037.1	75000	769	0.526809
(54,190)(52511,52650)(50000,100000)	JASDQU010012102.1	75000	138	0.058313
(25,2142)(114096,117501)(100000,150000)	JASDQU010012175.1	125000	2119	0.182835
(73,1654)(211410,213001)(200000,250000)	JASDQU010012204.1	225000	1583	0.596017
(341,511)(138581,138851)(100000,150000)	JASDQU010012216.1	125000	172	0.053036
(483,1027)(306702,307275)(300000,350000)	JASDQU010012224.1	325000	546	0.318609
(354,1566)(148778,149999)(100000,150000)	JASDQU010012231.1	125000	1214	0.511100
(641,1222)(115201,115960)(100000,150000)	JASDQU010012247.1	125000	583	0.332003
(286,1104)(51551,52386)(50000,100000)	JASDQU010012267.1	75000	820	0.110814
(803,973)(60489,60921)(50000,100000)	JASDQU010012272.1	75000	172	0.062883
(34,71)(188623,188715)(150000,200000)	JASDQU010012284.1	175000	39	0.773076
(4784,5725)(51981,81798)(50000,100000)	JASDQU010012294.1	75000	943	0.275279
(155,2888)(88146,91015)(50000,100000)	JASDQU010012295.1	75000	2735	0.287246
(427,1237)(107643,108482)(100000,150000)	JASDQU010012330.1	125000	812	0.144567
(1238,1249)(189639,189689)(150000,200000)	JASDQU010012330.1	175000	13	0.075935
(1250,3806)(443350,446761)(400000,450000)	JASDQU010012330.1	425000	2558	0.102745
(3807,3842)(453283,499909)(450000,500000)	JASDQU010012330.1	475000	37	0.149744
(299,1196)(161040,161984)(150000,200000)	JASDQU010012341.1	175000	899	0.816725
(48,280)(219519,219753)(200000,250000)	JASDQU010012357.1	225000	234	0.366515
(1284,5900)(210849,235431)(200000,250000)	JASDQU010012376.1	225000	4618	0.167090
(830,1525)(150000,165597)(150000,200000)	JASDQU010012403.1	175000	697	0.042138
(912,924)(52036,52054)(50000,100000)	JASDQU010012404.1	75000	14	0.034588
(168,228)(64369,64442)(50000,100000)	JASDQU010012418.1	75000	62	0.450198
(6,1010)(118935,121392)(100000,150000)	JASDQU010012424.1	125000	1006	0.589271
(839,1098)(284704,284964)(250000,300000)	JASDQU010012430.1	275000	261	0.320431
(1592,3048)(53402,80791)(50000,100000)	JASDQU010012433.1	75000	1458	0.187395
(2566,2764)(150000,152416)(150000,200000)	JASDQU010012436.1	175000	200	0.038083
(2765,5520)(244025,246995)(200000,250000)	JASDQU010012436.1	225000	2757	0.064678
(763,1546)(168277,184610)(150000,200000)	JASDQU010012465.1	175000	785	0.034811
(343,1837)(81176,93697)(50000,100000)	JASDQU010012481.1	75000	1496	0.256590
(853,946)(69636,69738)(50000,100000)	JASDQU010012496.1	75000	95	0.061965
(947,1427)(126854,127407)(100000,150000)	JASDQU010012496.1	125000	482	0.048685
(1428,2028)(162063,162671)(150000,200000)	JASDQU010012496.1	175000	602	0.274179
(357,2297)(120036,139660)(100000,150000)	JASDQU010012519.1	125000	1942	0.407887
(1060,2400)(183708,185067)(150000,200000)	JASDQU010012534.1	175000	1342	0.225444
(2401,3150)(392733,393493)(350000,400000)	JASDQU010012534.1	375000	751	0.517710
(538,538)(146941,146941)(100000,150000)	JASDQU010012548.1	125000	2	0.051326
(191,1208)(56282,89647)(50000,100000)	JASDQU010012559.1	75000	1019	0.292302
(450,647)(145169,145449)(100000,150000)	JASDQU010012661.1	125000	199	0.051822
(2120,4652)(50000,85707)(50000,100000)	JASDQU010012687.1	75000	2534	0.684942
(537,901)(231905,232400)(200000,250000)	JASDQU010012707.1	225000	366	0.040629
(490,896)(163874,191494)(150000,200000)	JASDQU010012758.1	175000	408	0.277255
(505,742)(134625,135792)(100000,150000)	JASDQU010012783.1	125000	239	0.106296
(438,1783)(157288,190078)(150000,200000)	JASDQU010012785.1	175000	1347	0.179195
(1784,1906)(207780,207914)(200000,250000)	JASDQU010012785.1	225000	124	0.096064
(1914,2768)(293964,295571)(250000,300000)	JASDQU010012792.1	275000	856	0.153524
(34,1489)(163689,196599)(150000,200000)	JASDQU010012815.1	175000	1457	0.131542
(7220,7840)(76016,76654)(50000,100000)	JASDQU010012840.1	75000	622	0.065975
(821,950)(95216,95402)(50000,100000)	JASDQU010012843.1	75000	131	0.063886
(2582,2600)(131613,131724)(100000,150000)	JASDQU010012850.1	125000	20	-0.014936
(644,782)(199675,199813)(150000,200000)	JASDQU010012855.1	175000	140	0.092745
(370,1236)(115883,116754)(100000,150000)	JASDQU010012909.1	125000	868	0.870067
(802,935)(100000,100141)(100000,150000)	JASDQU010012914.1	125000	135	0.027828
(173,507)(320510,320844)(300000,350000)	JASDQU010012930.1	325000	336	0.233561
(1785,2706)(77381,78317)(50000,100000)	JASDQU010012940.1	75000	923	0.367535
(696,1129)(344174,344803)(300000,350000)	JASDQU010012943.1	325000	435	0.036381
(407,813)(101895,109412)(100000,150000)	JASDQU010013018.1	125000	408	0.014135
(814,866)(242591,242847)(200000,250000)	JASDQU010013018.1	225000	54	0.240091
(4301,4751)(51005,51487)(50000,100000)	JASDQU010013045.1	75000	452	0.272993
(466,646)(156310,194221)(150000,200000)	JASDQU010013080.1	175000	182	0.041752
(665,1252)(206536,210546)(200000,250000)	JASDQU010013107.1	225000	589	0.211995
(27,104)(110702,110786)(100000,150000)	JASDQU010013110.1	125000	79	-0.009574
(1564,3503)(63632,69425)(50000,100000)	JASDQU010013151.1	75000	1941	0.158983
(892,3312)(55033,67481)(50000,100000)	JASDQU010013177.1	75000	2422	0.538306
(47,777)(72264,79590)(50000,100000)	JASDQU010013212.1	75000	732	0.119961
(7,1427)(91009,92625)(50000,100000)	JASDQU010013221.1	75000	1422	0.183770
(1185,1233)(99275,99323)(50000,100000)	JASDQU010013226.1	75000	50	0.085562
(35,1766)(184519,188667)(150000,200000)	JASDQU010013253.1	175000	1733	0.503856
(1054,1412)(183696,184645)(150000,200000)	JASDQU010013256.1	175000	360	0.094545
(144,750)(70629,79098)(50000,100000)	JASDQU010013259.1	75000	608	0.267551
(760,1743)(74974,81914)(50000,100000)	JASDQU010013271.1	75000	985	0.643560
(1744,2065)(161746,162106)(150000,200000)	JASDQU010013271.1	175000	323	0.045441
(2066,2614)(219942,220505)(200000,250000)	JASDQU010013271.1	225000	550	0.731575
(2208,2438)(219777,220031)(200000,250000)	JASDQU010013272.1	225000	232	0.657836
(208,245)(97722,97778)(50000,100000)	JASDQU010013282.1	75000	39	0.113942
(125,469)(118133,118550)(100000,150000)	JASDQU010013285.1	125000	346	0.512413
(780,889)(204375,204492)(200000,250000)	JASDQU010013311.1	225000	111	0.053952
(243,900)(63206,63889)(50000,100000)	JASDQU010013315.1	75000	659	0.464780
(348,816)(60517,61106)(50000,100000)	JASDQU010013319.1	75000	470	0.375663
(704,1178)(70034,70568)(50000,100000)	JASDQU010013326.1	75000	476	0.027766
(989,1486)(163331,163864)(150000,200000)	JASDQU010013330.1	175000	499	0.196954
(2145,2334)(221875,222152)(200000,250000)	JASDQU010013353.1	225000	191	0.208250
(958,1853)(114333,115359)(100000,150000)	JASDQU010013361.1	125000	897	0.079239
(229,1117)(76993,78104)(50000,100000)	JASDQU010013423.1	75000	890	0.558583
(144,226)(499858,499999)(450000,500000)	JASDQU010013459.1	475000	84	0.428484
(638,1063)(75979,86629)(50000,100000)	JASDQU010013477.1	75000	427	0.746230
(1064,2075)(129302,145353)(100000,150000)	JASDQU010013477.1	125000	1013	0.102904
(2076,3137)(168482,199999)(150000,200000)	JASDQU010013477.1	175000	1063	0.048598
(996,1121)(106844,106978)(100000,150000)	JASDQU010013500.1	125000	127	0.061167
(130,271)(100000,126968)(100000,150000)	JASDQU010013504.1	125000	143	0.163213
(272,659)(293065,293466)(250000,300000)	JASDQU010013504.1	275000	389	0.141272
(3122,3181)(94390,94451)(50000,100000)	JASDQU010013573.1	75000	61	0.367401
(319,434)(97393,97510)(50000,100000)	JASDQU010013607.1	75000	117	0.002919
(303,1046)(55283,89424)(50000,100000)	JASDQU010013629.1	75000	745	0.252507
(911,1962)(100325,103184)(100000,150000)	JASDQU010013654.1	125000	1053	0.199528
(260,2401)(184062,186962)(150000,200000)	JASDQU010013667.1	175000	2143	0.323392
(491,614)(116596,116719)(100000,150000)	JASDQU010013668.1	125000	125	0.098057
(2641,3315)(148574,149999)(100000,150000)	JASDQU010013693.1	125000	676	0.209162
(415,902)(86675,87450)(50000,100000)	JASDQU010013698.1	75000	489	0.010235
(3178,3967)(150000,150789)(150000,200000)	JASDQU010013719.1	175000	791	0.418292
(12,2027)(203112,206636)(200000,250000)	JASDQU010013720.1	225000	2017	0.494164
(7,752)(81649,82421)(50000,100000)	JASDQU010013735.1	75000	747	0.474179
(546,661)(150000,150118)(150000,200000)	JASDQU010013749.1	175000	117	0.092553
(304,1465)(80778,82407)(50000,100000)	JASDQU010013788.1	75000	1163	0.410352
(142,4188)(330277,336611)(300000,350000)	JASDQU010013845.1	325000	4048	0.083229
(2729,3591)(120124,121064)(100000,150000)	JASDQU010013892.1	125000	864	0.463915
(2394,7697)(63641,80725)(50000,100000)	JASDQU010013931.1	75000	5305	0.376870
(984,1588)(52841,58271)(50000,100000)	JASDQU010013938.1	75000	606	0.021483
(1589,1701)(123246,123361)(100000,150000)	JASDQU010013938.1	125000	114	0.550458
(374,1898)(123002,124626)(100000,150000)	JASDQU010013956.1	125000	1526	0.518068
(109,783)(237186,237959)(200000,250000)	JASDQU010013969.1	225000	676	0.107627
(490,2541)(101686,108805)(100000,150000)	JASDQU010013986.1	125000	2053	0.279674
(403,1542)(69118,73551)(50000,100000)	JASDQU010013996.1	75000	1141	0.002803
(608,760)(149401,149575)(100000,150000)	JASDQU010014056.1	125000	154	0.028439
(761,901)(283828,284204)(250000,300000)	JASDQU010014056.1	275000	142	0.068165
(384,666)(298072,298363)(250000,300000)	JASDQU010014075.1	275000	284	0.200898
(3101,3524)(100000,100424)(100000,150000)	JASDQU010014116.1	125000	425	0.784466
(682,2463)(61639,94378)(50000,100000)	JASDQU010014129.1	75000	1783	0.270482
(2464,2724)(156682,157021)(150000,200000)	JASDQU010014129.1	175000	262	0.240725
(391,593)(54496,54734)(50000,100000)	JASDQU010014170.1	75000	204	0.045879
(209,899)(255764,256500)(250000,300000)	JASDQU010014184.1	275000	692	0.075457
(468,3963)(50000,62470)(50000,100000)	JASDQU010014202.1	75000	3497	0.260308
(3,614)(100402,101172)(100000,150000)	JASDQU010014236.1	125000	613	0.543616
(615,1514)(291315,292220)(250000,300000)	JASDQU010014236.1	275000	901	0.407812
(1515,1672)(315401,315701)(300000,350000)	JASDQU010014236.1	325000	159	0.497890
(211,357)(217127,217274)(200000,250000)	JASDQU010014249.1	225000	148	0.115698
(1221,1523)(168190,168526)(150000,200000)	JASDQU010014294.1	175000	304	0.460310
(801,1276)(156875,159610)(150000,200000)	JASDQU010014329.1	175000	477	0.067534
(322,448)(50000,50126)(50000,100000)	JASDQU010014337.1	75000	128	0.053245
(90,1653)(78264,92009)(50000,100000)	JASDQU010014346.1	75000	1565	0.248650
(1987,2270)(201307,201729)(200000,250000)	JASDQU010014358.1	225000	285	0.070298
(641,1000)(84895,85263)(50000,100000)	JASDQU010014364.1	75000	361	0.069093
(1001,2194)(159400,160981)(150000,200000)	JASDQU010014364.1	175000	1195	0.649519
(2195,2201)(229783,229791)(200000,250000)	JASDQU010014364.1	225000	8	0.044553
(390,2573)(106416,111771)(100000,150000)	JASDQU010014401.1	125000	2185	0.385001
(225,983)(65778,66540)(50000,100000)	JASDQU010014404.1	75000	760	0.761408
(136,4707)(108493,121938)(100000,150000)	JASDQU010014418.1	125000	4573	0.586062
(171,600)(68658,69172)(50000,100000)	JASDQU010014468.1	75000	431	0.045248
(565,816)(122241,141156)(100000,150000)	JASDQU010014488.1	125000	253	0.073018
(817,1207)(205911,206305)(200000,250000)	JASDQU010014488.1	225000	392	0.445463
(486,1386)(58633,59548)(50000,100000)	JASDQU010014504.1	75000	902	0.447759
(1972,2510)(51496,52589)(50000,100000)	JASDQU010014523.1	75000	540	0.092807
(157,842)(247907,248722)(200000,250000)	JASDQU010014560.1	225000	687	0.354445
(1153,2830)(93666,96810)(50000,100000)	JASDQU010014564.1	75000	1679	0.737943
(562,2505)(101671,107838)(100000,150000)	JASDQU010014578.1	125000	1945	0.774691
(3135,8668)(69661,77348)(50000,100000)	JASDQU010014590.1	75000	5535	0.378870
(846,1459)(80663,84629)(50000,100000)	JASDQU010014614.1	75000	615	0.287893
(785,2188)(171735,179628)(150000,200000)	JASDQU010014649.1	175000	1405	0.040236
(585,866)(224424,224742)(200000,250000)	JASDQU010014658.1	225000	283	0.054371
(497,547)(72228,72290)(50000,100000)	JASDQU010014738.1	75000	52	0.089152
(1121,1705)(230235,234937)(200000,250000)	JASDQU010014755.1	225000	586	0.038323
(1706,2604)(422204,423108)(400000,450000)	JASDQU010014755.1	425000	900	0.158777
(119,230)(250000,250111)(250000,300000)	JASDQU010014760.1	275000	113	0.058259
(376,1223)(63583,65392)(50000,100000)	JASDQU010014783.1	75000	849	0.071684
(220,742)(50000,60424)(50000,100000)	JASDQU010014799.1	75000	524	0.256270
(1781,2690)(131169,132105)(100000,150000)	JASDQU010014808.1	125000	911	0.014632
(225,3051)(54492,80634)(50000,100000)	JASDQU010014811.1	75000	2828	0.265850
(174,2168)(114882,117310)(100000,150000)	JASDQU010014816.1	125000	1996	0.455048
(3103,7661)(150000,165481)(150000,200000)	JASDQU010014828.1	175000	4560	0.485347
(434,717)(277713,278065)(250000,300000)	JASDQU010014832.1	275000	285	0.860456
(1268,1367)(117269,117376)(100000,150000)	JASDQU010014837.1	125000	101	0.046576
(366,699)(78988,96028)(50000,100000)	JASDQU010014848.1	75000	335	0.035501
(1616,1705)(98465,98566)(50000,100000)	JASDQU010014857.1	75000	91	0.036874
(493,954)(117843,123298)(100000,150000)	JASDQU010014920.1	125000	463	0.034943
(934,1033)(125055,125165)(100000,150000)	JASDQU010014962.1	125000	101	0.103911
(1232,7641)(338654,345955)(300000,350000)	JASDQU010014976.1	325000	6411	0.773879
(7642,8547)(391285,392513)(350000,400000)	JASDQU010014976.1	375000	907	0.399404
(276,3020)(67673,93486)(50000,100000)	JASDQU010025279.1	75000	2746	0.569705
(301,2969)(53597,62185)(50000,100000)	JASDQU010026439.1	75000	2670	0.137561
(769,905)(111750,111902)(100000,150000)	JASDQU010026764.1	125000	138	0.080955
(1382,3009)(53211,54940)(50000,100000)	JASDQU010026955.1	75000	1629	0.594999
(2853,3362)(50560,51076)(50000,100000)	JASDQU010027415.1	75000	511	0.833130
(219,883)(51253,51919)(50000,100000)	JASDQU010027508.1	75000	666	-0.008420
(517,1354)(65605,77241)(50000,100000)	JASDQU010027586.1	75000	839	0.016415
(184,1011)(78516,79343)(50000,100000)	JASDQU010027663.1	75000	829	0.456219
(288,787)(84288,84845)(50000,100000)	JASDQU010027683.1	75000	501	0.059796
(1922,2954)(50000,51043)(50000,100000)	JASDQU010027695.1	75000	1034	0.650448
(763,930)(52046,52225)(50000,100000)	JASDQU010027878.1	75000	169	0.024030
(792,1148)(270388,270801)(250000,300000)	JASDQU010029033.1	275000	358	0.128970
(2114,2869)(50000,53281)(50000,100000)	JASDQU010029920.1	75000	757	0.601588
(206,279)(71278,71355)(50000,100000)	JASDQU010031406.1	75000	75	0.300839
